"","V1"
"sp0_teta_stage1",0.00079577
"sp0_alpha_stage1",0.07843349
"sp0_teta_stage2",0.00318307
"sp0_alpha_stage2",0.1022794
"sp1_teta_stage1",0.0127307
"sp1_alpha_stage1",0.1945792
"sp1_teta_stage2",0.0127307
"sp1_alpha_stage2",0.23246665
"sp2_teta_stage1",0.00063662
"sp2_alpha_stage1",0.02483041
"sp2_teta_stage2",6.366e-05
"sp2_alpha_stage2",0.00418067
"sp3_teta_stage1",0.00212206
"sp3_alpha_stage1",0.02974557
"sp3_teta_stage2",0.00318307
"sp3_alpha_stage2",0.0393207
"sp4_teta_stage1",0.00212206
"sp4_alpha_stage1",0.02974557
"sp4_teta_stage2",0.00318307
"sp4_alpha_stage2",0.0393207
"sp5_teta_stage1",0.00636599
"sp5_alpha_stage1",0.17189939
"sp6_teta_stage1",0.00424407
"sp6_alpha_stage1",0.29216313
"sp7_teta_stage1",0.01818419
"sp7_alpha_stage1",0.22820339
"sp7_teta_stage2",0.01157363
"sp7_alpha_stage2",0.28691424
"sp7_teta_stage3",0.00909395
"sp7_alpha_stage3",0.4954113
"sp8_teta_stage1",0.00021221
"sp8_alpha_stage1",0.04217535
"sp8_teta_stage2",0.00031831
"sp8_alpha_stage2",0.06315283
